;Ap;Høyre;Frp;SV;Sp;KrF;Venstre;MDG;Rødt;Andre
Januar '14;33,5 (65);29,1 (52);13,6 (24);3,9 (2);4,5 (8);5,3 (9);4,7 (8);3,1 (1);1,2 (0);1,2 (0)
Desember '13;33,3 (65);27,8 (49);14,2 (25);3,9 (2);4,8 (8);5,4 (10);5,2 (9);2,9 (1);1,2 (0);1,3 (0)
November '13;32,2 (61);27,9 (46);14,5 (28);4,0 (7);5,0 (8);5,4 (9);5,4 (9);3,3 (1);1,2 (0);1,1 (0)
Oktober '13;31,9 (61);27,8 (46);14,6 (28);4,1 (7);4,7 (8);5,5 (9);5,6 (9);3,2 (1);1,3 (0);1,3 (0)
September '13;29,7 (55);27,0 (46);15,9 (31);4,8 (8);5,1 (9);6,0 (10);5,5 (9);3,2 (1);1,4 (0);1,4 (0)
August '13;29,0 (53);28,9 (51);15,2 (28);4,3 (7);5,3 (9);5,4 (10);5,3 (9);3,5 (2);1,5 (0);1,5 (0)
Juli '13;28,0 (52);31,6 (58);16,2 (31);3,9 (1);4,6 (8);5,2 (9);5,2 (9);2,3 (1);1,9 (0);1,2 (0)
Juni '13;28,6 (52);32,0 (55);16,4 (31);4,3 (7);4,5 (8);5,3 (9);4,2 (7);1,5 (0);1,5 (0);1,5 (0)
Mai '13;28,9 (52);31,8 (55);16,0 (29);4,7 (8);4,5 (8);5,3 (9);4,7 (8);1,4 (0);1,5 (0);1,3 (0)
April '13;27,7 (51);32,6 (55);16,5 (30);5,0 (8);4,8 (8);5,1 (9);4,5 (8);1,0 (0);1,5 (0);1,4 (0)
Mars '13;28,1 (51);32,4 (54);16,8 (32);4,4 (7);4,8 (8);5,2 (9);4,7 (8);1,0 (0);1,4 (0);1,1 (0)
Februar '13;28,4 (52);32,9 (55);15,6 (29);4,9 (8);4,7 (8);5,3 (9);4,5 (8);0,9 (0);1,4 (0);1,3 (0)
Januar '13;28,6 (52);33,6 (57);15,9 (30);4,1 (7);4,4 (7);5,5 (9);4,4 (7);0,6 (0);1,4 (0);1,3 (0)
Desember '12;28,6 (52);32,0 (54);16,2 (31);4,3 (7);4,7 (8);5,3 (9);5,2 (8);0,6 (0);1,8 (0);1,2 (0)
November '12;29,6 (53);31,4 (54);17,0 (31);4,4 (7);4,5 (8);5,0 (8);4,9 (8);0,3 (0);1,5 (0);1,2 (0)
Oktober '12;27,8 (50);33,9 (59);17,2 (32);4,1 (6);4,4 (7);5,0 (8);4,5 (7);0,5 (0);1,4 (0);1,3 (0)
September '12;29,2 (54);33,5 (62);16,6 (30);3,9 (2);4,3 (8);5,2 (10);3,9 (3);0,6 (0);1,8 (0);1,0 (0)
August '12;30,2 (54);31,6 (57);17,3 (31);4,0 (2);4,4 (8);4,6 (8);4,7 (9);0,2 (0);1,7 (0);1,3 (0)
Juli '12;29,8 (53);30,5 (54);18,4 (34);3,9 (2);4,8 (9);5,0 (9);4,4 (8);0,2 (0);1,2 (0);1,5 (0)
Juni '12;29,9 (53);32,0 (56);16,2 (31);4,3 (7);4,7 (7);4,7 (7);4,8 (8);0,1 (0);1,5 (0);1,8 (0)
Mai '12;30,8 (55);30,9 (53);16,0 (30);4,2 (7);4,6 (8);5,1 (8);4,7 (8);0,2 (0);1,5 (0);1,9 (0)
April '12;30,5 (54);29,4 (50);17,3 (32);4,5 (7);5,1 (9);5,1 (8);5,2 (9);0,2 (0);1,4 (0);1,4 (0)
Mars '12;32,9 (61);27,9 (46);16,3 (29);4,5 (7);5,3 (9);5,4 (9);4,6 (8);0,2 (0);1,3 (0);1,7 (0)
Februar '12;34,4 (66);27,9 (45);14,4 (25);4,8 (8);5,1 (8);5,1 (8);5,3 (9);0,0 (0);1,3 (0);1,6 (0)
Januar '12;34,7 (65);29,3 (49);13,7 (23);4,1 (7);5,0 (8);5,3 (9);4,9 (8);0,0 (0);1,7 (0);1,3 (0)
Desember '11;32,7 (60);29,6 (49);15,0 (28);4,2 (7);5,2 (8);5,4 (9);5,1 (8);0,0 (0);1,3 (0);1,6 (0)
November '11;32,7 (60);29,1 (48);15,2 (28);4,4 (7);5,3 (9);5,1 (8);5,2 (9);0,0 (0);1,5 (0);1,5 (0)
Oktober '11;33,9 (65);29,3 (49);13,8 (23);4,5 (7);4,6 (8);5,3 (9);4,9 (8);0,0 (0);1,7 (0);1,8 (0)
September '11;34,0 (63);27,1 (45);16,5 (29);4,3 (7);5,2 (8);4,7 (8);5,4 (9);0,0 (0);1,6 (0);1,4 (0)
August '11;38,4 (72);22,5 (37);17,2 (30);5,3 (8);4,5 (7);5,1 (8);4,1 (7);0,0 (0);1,5 (0);1,2 (0)
Juli '11;31,2 (56);27,0 (45);19,7 (37);5,5 (9);4,5 (7);4,9 (8);4,4 (7);0,0 (0);1,3 (0);1,1 (0)
Juni '11;29,1 (51);29,0 (50);19,1 (34);5,2 (9);5,0 (9);5,4 (9);4,3 (7);0,0 (0);1,6 (0);1,2 (0)
Mai '11;29,9 (54);27,3 (45);19,2 (36);5,6 (9);5,1 (8);4,9 (8);5,3 (9);0,0 (0);1,6 (0);1,1 (0)
April '11;29,3 (53);27,0 (46);18,9 (36);5,8 (9);5,3 (8);5,0 (8);5,3 (9);0,0 (0);1,6 (0);1,7 (0)
Mars '11;28,2 (51);27,2 (46);22,2 (40);6,0 (10);4,9 (8);4,4 (7);4,1 (7);0,0 (0);1,6 (0);1,3 (0)
Februar '11;27,7 (51);26,2 (43);23,2 (42);5,7 (9);4,9 (8);4,8 (8);4,8 (8);0,0 (0);1,5 (0);1,2 (0)
Januar '11;27,5 (50);26,3 (44);23,8 (43);5,5 (9);4,9 (8);4,6 (8);4,3 (7);0,0 (0);1,5 (0);1,5 (0)
Desember '10;26,1 (50);26,1 (43);25,3 (44);5,8 (9);4,9 (8);4,7 (8);4,2 (7);0,0 (0);1,5 (0);1,4 (0)
November '10;27,7 (50);26,2 (44);24,1 (43);5,5 (9);4,9 (8);4,6 (8);4,4 (7);0,0 (0);1,5 (0);1,0 (0)
Oktober '10;28,9 (51);26,1 (45);23,6 (42);5,4 (9);4,7 (8);4,3 (7);4,1 (7);0,0 (0);1,6 (0);1,3 (0)
September '10;27,5 (51);27,2 (45);22,9 (41);5,5 (9);5,0 (8);4,6 (8);4,5 (7);0,0 (0);1,6 (0);1,2 (0)
August '10;26,6 (49);27,1 (45);22,8 (41);5,6 (9);5,0 (8);5,3 (9);4,6 (8);0,0 (0);1,8 (0);1,2 (0)
Juli '10;29,0 (53);25,5 (43);22,3 (39);5,6 (9);5,4 (9);5,1 (9);4,3 (7);0,0 (0);1,4 (0);1,5 (0)
Juni '10;28,7 (51);24,9 (43);23,5 (43);6,1 (11);5,3 (9);4,9 (9);3,8 (3);0,0 (0);1,5 (0);1,3 (0)
Mai '10;30,2 (55);24,3 (42);22,6 (39);5,9 (9);5,4 (9);4,9 (8);4,1 (7);0,0 (0);1,3 (0);1,3 (0)
April '10;29,8 (52);23,6 (41);23,9 (44);6,2 (11);5,2 (9);5,0 (9);3,8 (3);0,0 (0);1,3 (0);0,6 (0)
Mars '10;31,1 (55);22,2 (37);23,7 (44);6,2 (10);5,2 (8);4,8 (8);4,1 (7);0,0 (0);1,6 (0);0,3 (0)
Februar '10;32,6 (60);22,4 (39);22,7 (39);6,5 (11);5,1 (9);4,3 (8);3,9 (3);0,0 (0);1,5 (0);0,0 (0)
Januar '10;31,3 (57);21,5 (35);23,4 (42);6,5 (11);5,5 (9);5,3 (9);4,0 (6);0,0 (0);1,5 (0);0,0 (0)
Desember '09;30,7 (56);21,5 (36);23,1 (41);7,2 (11);5,4 (9);5,4 (9);4,1 (7);0,0 (0);1,8 (0);0,0 (0)
November '09;34,0 (63);20,1 (33);21,9 (37);6,0 (10);5,8 (10);5,8 (9);4,1 (7);0,0 (0);1,4 (0);0,0 (0)
Oktober '09;35,3 (64);19,3 (32);22,8 (40);6,1 (10);5,4 (9);4,4 (7);4,1 (7);0,0 (0);0,0 (0);0,0 (0)
September '09;32,6 (59);16,2 (27);23,0 (42);7,1 (12);6,0 (10);6,4 (10);5,3 (9);0,0 (0);0,0 (0);0,0 (0)
August '09;32,3 (59);14,1 (23);25,6 (48);7,5 (12);5,9 (9);6,1 (10);5,3 (8);0,0 (0);0,0 (0);0,0 (0)
Juli '09;33,5 (63);13,1 (20);27,5 (51);7,1 (11);5,2 (8);6,0 (9);4,9 (7);0,0 (0);0,0 (0);0,0 (0)
Juni '09;32,8 (60);13,6 (22);26,1 (49);7,2 (11);5,7 (9);5,9 (9);5,6 (9);0,0 (0);0,0 (0);0,0 (0)
Mai '09;32,9 (62);13,8 (21);26,4 (49);7,5 (12);5,0 (8);6,0 (9);5,4 (8);0,0 (0);0,0 (0);0,0 (0)
April '09;32,4 (57);13,9 (23);27,2 (51);7,1 (11);5,8 (9);6,0 (10);4,9 (8);0,0 (0);0,0 (0);0,0 (0)
Mars '09;32,8 (60);13,8 (21);27,3 (51);7,0 (11);5,5 (8);6,2 (10);5,0 (8);0,0 (0);0,0 (0);0,0 (0)
Februar '09;34,0 (64);15,2 (24);23,9 (43);7,1 (11);5,0 (8);5,9 (9);6,1 (10);0,0 (0);0,0 (0);0,0 (0)
Januar '09;33,9 (64);16,1 (25);23,2 (41);7,5 (12);5,5 (9);6,0 (10);4,8 (8);0,0 (0);0,0 (0);0,0 (0)
